Row_ID,Invoice_ID,Date,Client,Product,Quantity,Unit_Price_INR,Total_Amount_INR
1,INV-3492,2025-05-20,Client-144: M/s Pooja Fashion House,Velvet Roll (Label-405),107,126.93,13581.51
2,INV-2990,2023-08-31,Client-076: Smt. Ashok Designs,Jacquard Brocade (Label-315),132,191.21,25239.72
3,INV-0071,2026-03-24,Client-006: M/s Naresh Exports,Patola Woven Border (Label-330),138,266.07,36717.66
4,INV-1757,2025-10-11,Client-040: M/s Drashti Fashion House,Polyester Grosgrain (Label-408),47,32.82,1542.54
5,INV-0212,2025-07-02,Client-110: M/s Anita Embroidery Works,Jacquard Brocade (Label-315),167,181.64,30333.88
6,INV-0197,2026-05-07,Client-132: M/s Shanta Creations,Kutch Embroidery Border (Label-407),20,218.13,4362.6
7,INV-0804,2023-09-25,Client-124: M/s Bhavesh Exports,Silver Tissue (Label-312),82,183.23,15024.86
8,INV-3410,2023-10-08,Client-109: M/s Padma Silk House,Jacquard Brocade (Label-315),27,163.95,4426.65
9,INV-3837,2023-04-11,Client-065: Shri Arvind Emporium,Raw Silk Ribbon (Label-115),36,116.89,4208.04
10,INV-1147,2024-06-29,Client-127: M/s Nayna Boutique,Chiffon Pleated (Label-119),36,69.45,2500.2
11,INV-1499,2025-05-26,Client-059: M/s Sita Fabrics,Polyester Grosgrain (Label-408),43,32.87,1413.41
12,INV-3859,2023-04-03,Client-086: M/s Neha Fashion House,Raw Silk Ribbon (Label-115),60,115.37,6922.2
13,INV-3483,2023-03-18,Client-144: M/s Pooja Fashion House,Silver Tissue (Label-312),452,175.55,79348.6
14,INV-1186,2023-04-03,Client-077: Shri Deepak Fashion House,Metallic Zari (Label-306),473,162.79,76999.67
15,INV-0472,2024-12-27,Client-045: M/s Akash Saree Centre,Jacquard Brocade (Label-315),116,165.78,19230.48
16,INV-0595,2023-10-03,Client-002: M/s Chandrika Fashion House,Gold Zardozi (Label-501),192,293.23,56300.16
17,INV-0322,2025-02-16,Client-063: Smt. Padma Saree Centre,Satin 2-Inch (Label-102),62,50.51,3131.62
18,INV-1418,2025-02-22,Client-106: Smt. Kamlesh Designs,Satin 1-Inch (Label-101),39,32.26,1258.14
19,INV-1675,2025-10-12,Client-103: Shri Vijay Fashion House,Silk Printed (Label-112),25,90.25,2256.25
20,INV-3591,2024-09-21,Client-097: M/s Deepika Designs,Silver Tissue (Label-312),609,181.44,110496.96
21,INV-1704,2023-06-09,Client-127: M/s Nayna Boutique,Banarasi Zari Border (Label-302),29,136.66,3963.14
22,INV-2541,2024-11-12,Client-149: Shri Alpesh Saree Centre,Nylon Woven (Label-501),33,29.22,964.26
23,INV-0206,2024-09-27,Client-140: M/s Brijesh Weavers,Satin 2-Inch (Label-102),330,47.53,15684.9
24,INV-3888,2025-07-20,Client-041: M/s Varsha Handloom,Organza Sheer (Label-210),40,49.7,1988.0
25,INV-3249,2023-05-22,Client-007: M/s Hasmukh Collections,Lace Trim Border (Label-217),112,64.82,7259.84
26,INV-2132,2024-06-30,Client-034: M/s Mansukhbhai Event Planners,Metallic Zari (Label-306),24,157.5,3780.0
27,INV-1256,2023-02-08,Client-053: M/s Malti Enterprises,Nylon Woven (Label-501),674,29.85,20118.9
28,INV-2300,2026-06-18,Client-150: M/s Kantilal Event Planners,Chanderi Block Print (Label-221),376,147.57,55486.32
29,INV-1227,2026-01-19,Client-114: M/s Padma Enterprises,Lace Trim Border (Label-217),40,70.04,2801.6
30,INV-3919,2025-06-20,Client-096: M/s Kiran Emporium,Organza Sheer (Label-210),58,51.47,2985.26
31,INV-2465,2023-01-07,Client-079: M/s Savita Weavers,Embroidered Mirror Work (Label-422),60,213.34,12800.4
32,INV-2384,2024-08-09,Client-095: M/s Shardaben Handloom,Multicolor Taffeta (Label-308),56,93.64,5243.84
33,INV-0150,2026-03-08,Client-014: Shri Usha Fabrics,Organza Sheer (Label-210),18,51.23,922.14
34,INV-0870,2026-08-04,Client-073: M/s Lakshmi Event Planners,Cotton Herringbone (Label-203),41,44.44,1822.04
35,INV-1979,2023-10-01,Client-084: M/s Kantilal Embroidery Works,Polyester Grosgrain (Label-408),57,34.05,1940.85
36,INV-2457,2026-01-28,Client-033: M/s Vivek Fabrics,Velvet Roll (Label-405),366,130.22,47660.52
37,INV-3866,2026-02-15,Client-092: M/s Pushpa Silk House,Satin 1-Inch (Label-101),20,34.88,697.6
38,INV-2213,2023-12-20,Client-128: M/s Balaji Event Planners,Jacquard Brocade (Label-315),1020,176.23,179754.6
39,INV-1007,2024-07-06,Client-139: M/s Gopal Fashion House,Kutch Embroidery Border (Label-407),69,243.55,16804.95
40,INV-3048,2026-02-16,Client-145: M/s Rahul Decorators,Velvet Roll (Label-405),32,119.34,3818.88
41,INV-0706,2026-02-09,Client-122: M/s Bhikhabhai Enterprises,Metallic Zari (Label-306),361,155.31,56066.91
42,INV-3144,2024-03-13,Client-138: Smt. Natubhai Weavers,Organza Sheer (Label-210),417,56.38,23510.46
43,INV-3597,2024-11-21,Client-074: M/s Amrut Fashion House,Gold Zardozi (Label-501),513,300.97,154397.61
44,INV-1988,2025-11-04,Client-117: Smt. Narottam Emporium,Gota Patti (Label-204),44,84.76,3729.44
45,INV-0180,2024-01-05,Client-088: M/s Pooja Creations,Satin 2-Inch (Label-102),515,46.92,24163.8
46,INV-0110,2024-02-16,Client-139: M/s Gopal Fashion House,Lace Trim Border (Label-217),110,65.4,7194.0
47,INV-3079,2024-12-06,Client-066: Smt. Krunal Embroidery Works,Cotton Herringbone (Label-203),155,45.84,7105.2
