Invoice_ID,Date,Client,Product,Quantity,Unit_Price_INR
INV-0556,2025-04-06,,Nylon Woven (Label-501),34,29.27
INV-3492,2025-05-20,Client-144: M/s Pooja Fashion House,Velvet Roll (Label-405),107,126.93
INV-0528,2025-11-17,,Patola Woven Border (Label-330),27,225.44
INV-3926,2026-07-08,Client-118: M/s Pravin Textiles,Chiffon Pleated (Label-119),-7,75.7
INV-2990,2023-08-31,Client-076: Smt. Ashok Designs,Jacquard Brocade (Label-315),132,191.21
INV-0071,2026-03-24,Client-006: M/s Naresh Exports,Patola Woven Border (Label-330),138,266.07
INV-1757,2025-10-11,Client-040: M/s Drashti Fashion House,Polyester Grosgrain (Label-408),47,32.82
INV-0212,2025-07-02,Client-110: M/s Anita Embroidery Works,Jacquard Brocade (Label-315),167,181.64
INV-0197,2026-05-07,Client-132: M/s Shanta Creations,Kutch Embroidery Border (Label-407),20,218.13
INV-0804,2023-09-25,Client-124: M/s Bhavesh Exports,Silver Tissue (Label-312),82,183.23
INV-3410,2023-10-08,Client-109: M/s Padma Silk House,Jacquard Brocade (Label-315),27,163.95
INV-3837,2023-04-11,Client-065: Shri Arvind Emporium,Raw Silk Ribbon (Label-115),36,116.89
INV-1147,2024-06-29,Client-127: M/s Nayna Boutique,Chiffon Pleated (Label-119),36,69.45
INV-1499,2025-05-26,Client-059: M/s Sita Fabrics,Polyester Grosgrain (Label-408),43,32.87
INV-3859,2023-04-03,Client-086: M/s Neha Fashion House,Raw Silk Ribbon (Label-115),60,115.37
INV-3483,2023-03-18,Client-144: M/s Pooja Fashion House,Silver Tissue (Label-312),452,175.55
INV-1186,2023-04-03,Client-077: Shri Deepak Fashion House,Metallic Zari (Label-306),473,162.79
INV-0472,2024-12-27,Client-045: M/s Akash Saree Centre,Jacquard Brocade (Label-315),116,165.78
INV-0595,2023-10-03,Client-002: M/s Chandrika Fashion House,Gold Zardozi (Label-501),192,293.23
INV-0322,2025-02-16,Client-063: Smt. Padma Saree Centre,Satin 2-Inch (Label-102),62,50.51
INV-1418,2025-02-22,Client-106: Smt. Kamlesh Designs,Satin 1-Inch (Label-101),39,32.26
INV-1675,2025-10-12,Client-103: Shri Vijay Fashion House,Silk Printed (Label-112),25,90.25
INV-3591,2024-09-21,Client-097: M/s Deepika Designs,Silver Tissue (Label-312),609,181.44
INV-1704,2023-06-09,Client-127: M/s Nayna Boutique,Banarasi Zari Border (Label-302),29,136.66
INV-2541,2024-11-12,Client-149: Shri Alpesh Saree Centre,Nylon Woven (Label-501),33,29.22
INV-0206,2024-09-27,Client-140: M/s Brijesh Weavers,Satin 2-Inch (Label-102),330,47.53
INV-3888,2025-07-20,Client-041: M/s Varsha Handloom,Organza Sheer (Label-210),40,49.7
INV-3249,2023-05-22,Client-007: M/s Hasmukh Collections,Lace Trim Border (Label-217),112,64.82
INV-2132,2024-06-30,Client-034: M/s Mansukhbhai Event Planners,Metallic Zari (Label-306),24,157.5
INV-1256,2023-02-08,Client-053: M/s Malti Enterprises,Nylon Woven (Label-501),674,29.85
INV-2300,2026-06-18,Client-150: M/s Kantilal Event Planners,Chanderi Block Print (Label-221),376,147.57
INV-1227,2026-01-19,Client-114: M/s Padma Enterprises,Lace Trim Border (Label-217),40,70.04
INV-3919,2025-06-20,Client-096: M/s Kiran Emporium,Organza Sheer (Label-210),58,51.47
